epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.847,0.8905,1.4102,1.02215,0.6043,0.74891,0.62105,0.48801,0.84242,0.81743,0.94234,0.000416564,0.000416564,0.000416564
2,761.255,0.81748,0.71802,0.99791,0.59406,0.78196,0.5905,0.47398,0.78048,0.72081,0.92781,0.000750741,0.000750741,0.000750741
3,1114.32,0.75921,0.62745,0.97347,0.62521,0.91789,0.65951,0.56664,0.69005,0.65742,0.88977,0.00100242,0.00100242,0.00100242
4,1466.67,0.70578,0.56335,0.95006,0.62992,0.94666,0.65891,0.58454,0.63317,0.59128,0.8613,0.00087875,0.00087875,0.00087875
5,1821.29,0.65185,0.50691,0.92695,0.64881,0.94753,0.66617,0.59971,0.58397,0.56981,0.84662,0.000755,0.000755,0.000755
6,2179.59,0.61627,0.47392,0.91226,0.65525,0.95654,0.66883,0.6083,0.56005,0.53422,0.83542,0.00063125,0.00063125,0.00063125
7,2534.51,0.58399,0.44362,0.90074,0.65733,0.95917,0.668,0.6128,0.53532,0.51359,0.83018,0.0005075,0.0005075,0.0005075
8,2882.19,0.55052,0.41653,0.88743,0.65622,0.9592,0.66664,0.61696,0.50959,0.4962,0.82478,0.00038375,0.00038375,0.00038375
9,3242.01,0.52227,0.39245,0.87926,0.65742,0.95991,0.66641,0.61929,0.49769,0.4793,0.81789,0.00026,0.00026,0.00026
10,3606.8,0.49794,0.37389,0.87042,0.65931,0.96016,0.66798,0.62453,0.48158,0.47223,0.81342,0.00013625,0.00013625,0.00013625
